rown	id	name	doc_topic	pContent	maxProb
1	a1	환경분야 공적개발원조(ODA) 사업평가 지침 마련을 위한 연구	3	1장 서다 론 연구 배경 필요 연구 목적 방법 장 사업 평가 운영 현황 분석 환경 개선 마스터플랜 수립 지원 사업 평가 현황 가다 사업 현황 나 사업 평가 국내 사후 평가 운영 현황 가다 현황 분석 목표 설정 나 사전 평가 연계 평가 기준 범위 정보 공개 기타 평가 운영 현황 개선 과제 평가 대상 통합 평가 범위 확대 필요 나 평가 대상 사업 선정 기준 미비 자체 평가 역량 강화 필요 소결 장 국내외 기관 사업 평가 지침 매뉴얼 분석 국내 기관 사업 평가 지침 비교 국내외 기관 사업 평가 매뉴얼 가다 나 장 사업 평가 지침 안 사업 평가 설서 지침 해설 작성 방향 환경 분야 국제 개발 협력 사업 평가 지침 안 사업 평가 담당자 위하다 해설 참고 문헌 	0.99870114714883
2	a2	제주 탄소제로섬 추진전략 연구	3	1장 서다 론 배경 목적 연구 추진 방향 장 개념 선행 사례 개념 선행 사례 국내 탄소 감축 정책 사례 나 해외 탄소 감축 정책 사례 기후 변화 적응 계획 사례 장 추진 여건 분석 온실가스 배출 현황 제주도 사회 경제 환경 가다 인구 증가 나 전력 사용량 설비 자동차 운행 대수 관광객 수 말다 폐기물 바 인프라 구축 스마트 그리드 온실가스 배출 전망 온실가스 감축 유리 환경 여건 가다 개요 나 신재 에너지 발전 보급 현황 계획 태양광 자원 풍력 자원 기후 변화 취약 평가 건강 분야 나 산림 분야 물 관리 분야 농업 분야 말다 해양 수산 분야 바 재해 분야 장 비전 추진 전략 비전 지표 탄소 제로섬 추진 비전 목표 나 탄소 제로섬 추진 핵심 사업 지표 추진 전략 가다 재생 에너지 움직이다 청정에너지 자립 섬 나 세계 전기 차 산업 메카 조성 자연 친화 탄소 제로 글로벌 명품 관광 브랜드 발전 주민 되다 과정 저탄소 생활 실천 말다 기후 변화 적응 안전 제주 장 정책 과제 도출 참고 문헌 부 록 부록 추진 전략 주요 사업 목록 부록 수원 확대 정책 방향 추진 과제 부록 제주 탄소 제로섬 조성 사업 경제 파급 효과 	0.453588870052827
3	a3	저탄소 기후변화 적응 사회를 위한 사회ㆍ경제 변화 시나리오 개발	3	연구 개발 과제 개요 연구 개발 목적 연구 개발 필요 연구 개발 범위 국내외 기술 개발 현황 사회 경제 시나리오 개발 현황 사회 경제 시나리오 개발 활용 가능 통합 평가 모형 분석 연구 수행 내용 결과 연구 개발 내용 범위 최종 목표 연구 개발 결과 토의 연구 개발 결과 요약 목표달성 관련 분야 기여 환경 성과 포함 목표달성 관련 분야 기여 연구 결과 활용 계획 등 연구 과정 수집 해외 과학 기술 정보 연구 개발 결과 보안 등급 등록 연구 시설 장비 현황 연구 개발 과제 수행 따르다 연구실 등 안전 조치 이행 실적 연구 개발 과제 대표 연구실 기타 사항 참고 문헌 부 록 기타 부록 지침서 매뉴얼 안내서 핸드북 등 	0.998715392744428
4	a4	화학사고의 경제적 손실 추정을 위한 방법론 진단 및 선정 방안 연구 : 인적ㆍ생태적 피해액 추정을 중심으로	3	1장 서다 론 연구 배경 필요 연구 목적 연구 내용 범위 장 화학 사고 현황 분석 피해액 추정 항목 제안 화학 사고 인하다 인적 생태 피해 피해액 관련 현황 분석 가다 국내외 화학 사고 관련 지침 연구 분석 나 국내외 화학 사고 사례 분석 피해액 추정 항목 제안 가다 피해액 추정 항목 후보 군 분류 나 피해액 추정 항목 제안 장 피해액 추정 방법 검토 제안 적용 가능 피해액 추정 방법 검토 유형 특성 추정 방법 검토 나 선행 연구 결과 검토 피해액 추정 방법 제안 적용 가다 추정 방법 나 분석 자료 분석 결과 사례 적용 통하다 피해액 추정 시나리오 제안 장 결론 제언 연구 요약 피해액 추정 기법 연구 방향 보완 점 제시 참고 문헌 부록 부록 설문지 부록 사고 대비 물질 유해 증상 	0.568950575516948
5	a5	나노폐기물의 안전처리를 위한 관리전략 수립 연구	2	1장 서다 론 연구 목적 연구 배경 필요 연구 목표 범위 장 나노 폐기물 정의 범위 나노 물질 정의 나노 폐기물 정의 세계 나노 물질 유통 현황 나노 폐기물 대상 범위 나노 폐기물 환경 위하다 성 평가 관하다 연구 장 해외 나노 폐기물 관리 규제 동향 프랑스 개요 나 등록 대상 물질 나노 물질 생애 주기 대하다 연구 미국 일본 가다 제정 배경 나 관리 주체 대책 장 나노 폐기물 처리 현황 문제점 분석 나노 폐기물 주요 배 출원 노출 경로 나노 폐기물 주요 배 출원 소각 시설 들어오다 유입 원 나 나노 폐기물 노출 경로 폐기 이후 단계 흐름 파악 통하다 문제점 분석 가다 소각 시설 유입 배출 등 나노 물질 흐름 추정 나 소각재 내 나노 물질 분석 결과 해외 시설 사례 비교 분석 통하다 나노 폐기물 적정 처리 가능 분석 가다 나노 물질 함유 폐기물 소각 시설 개요 나 입자 오염 물질 제어 기술 현황 입자 오염 물질 처리 공정 나노 입자 제거 가능 검토 장 나노 폐기물 안전 처리 위하다 관리 전략 나노 폐기물 안전 처리 위하다 추진 과제 도출 가다 폐기물 처리 단계 나노 물질 모니터 나 나노 폐기물 기초 기술 개발 나노 폐기물 위하다 성 평가 상황 나노 폐기물 안전 처리 위하다 관리 전략 제안 장 종합 제언 참고 문헌 부록 부록 소각재 시료 사진 부록 설문 조사 결과 	0.999338933394389
6	a6	가뭄 단계에 따른 적응형 가뭄관리정책 연구 : 지역 차원의 비구조적 가뭄대책을 중심으로	2	1장 서다 론 연구 배경 목적 연구 내용 방법 장 2015년 충남 서북 부 지역 가뭄 대응 사례 2015년 충남 서북 부 지역 가뭄 원인 가뭄 진행 따르다 충청남도 가뭄 대책 중앙 지방 정부 가뭄 대책 장 가뭄 씨 체수 자원 활용 검토 수자원 확보 필요 해수 담수화 활용 한계 중수도 빗물 이용 활용 한계 수재 이용 활용 한계 소결 장 가뭄 씨 수요 관리 대책 활용 검토 수요 관리 대책 중요 국내 수요 관리 정책 해외 수요 관리 정책 수요 관리 통하다 물 절약 효과 소결 장 생활용수 부족 위기 대응 수단 검토 생활용수 부족 위기 대비 능력 생활용수 부족 상황 대응 능력 	0.998656449478528
7	a7	국내 능선축 GIS기반 통합관리시스템 개발	3	연구 개발 과제 개요 연구 개발 목적 연구 개발 필요 연구 개발 범위 국내외 기술 개발 현황 국내 기술 개발 현황 국내 산지 관리 정책 동향 국외 산지 인식 관리 정책 동향 산줄기 능 선축 관련 환경 쟁점 사례 연구 수행 내용 결과 연구 개발 내용 범위 최종 목표 연구 개발 결과 토의 연구 개발 결과 요약 목표달성 관련 분야 기여 목표달성 관련 분야 기여 연구 결과 활용 계획 환경영향평가 시 활용 부처 간 연계 계획 연구 과정 수집 해외 과학 기술 정보 연구 개발 결과 보안 등급 국가 과학 기술 종합 정보 시스템 등록 연구 시설 장비 현황 연구 개발 과제 수행 따르다 연구실 등 안전 조치 이행 실적 연구 개발 제의 	0.998742966633044
8	a8	기후변화에 따른 건강영향 평가ㆍ적응 기술 및 정책지원 시스템 개발(I-IV)	3	연구 개발 과제 개요 연구 개발 목적 연구 개발 필요 연구 개발 범위 국내외 기술 개발 현황 연구 수행 내용 결과 연구 개발 내용 범위 최종 목표 연구 개발 최종 목표 나 연도 목표 내용 연도 연구 단계 추진 체계 연구 개발 결과 토의 건강 영향 평가 위하다 자료 구축 기상 자료 건강 영향 자료 대기 오염 자료 기타 자료 건강 영향 평가 분석 나 폭염 한파 인하다 건강 영향 평가 기술 개발 폭염 한파 건강 영향 관하다 이론 고찰 건강 영향 평가 방법 건강 영향 평가 결과 기후 변화 시나리오 따르다 건강 영향 예측 시범 적용 기상 재해 태풍 호우 인하다 건강 영향 평가 기술 개발 기상 재해 건강 영향 관하다 이론 고찰 건강 영향 평가 방법 건강 영향 평가 결과 오존 인하다 건강 영향 평가 기술 개발 오존 건강 영향 관하다 이론 고찰 건강 영향 평가 방법 건강 영향 평가 분석 자료 건강 영향 평가 결과 기후 변화 시나리오 따르다 건강 영향 예측 시범 적용 말다 자외선 인하다 건강 영향 평가 기술 개발 자외선 건강 영향 관하다 이론 고찰 건강 영향 평가 방법 건강 영향 평가 결과 바 기후 변화 건강 영향 적응 저감 기술 개발 기후 변화 건강 영향 적응 정책 기술 자료 수집 개요 국외 적응 정책 기술 자료 검토 국내 적응 정책 기술 자료 검토 요약 결론 사다 기후 변화 건강 영향 정책 지원 시스템 개발 정책 지원 시스템 요구 분석 정책 지원 시스템 구축 방안 수립 정책 지원 시스템 기능 설계 정책 지원 시스템 설계 구축 정책 지원 시스템 세부 기능 개발 정책 지원 시스템 시범 운영 개선 기후 변화 건강 영향 교육 홍보 기후 변화 건강 영향 정책 지원 시스템 개발 교육 홍보 기후 변화 건강 영향 적응 저감 기술 관련 교육 홍보 정책 자료 시범 제작 연구 개발 결과 요약 가다 연구 내용 요약 나 결론 연구 목표달성 관련 분야 기여 환경 성과 포함 목표달성 관련 분야 기여 연구 결과 활용 계획 등 연구 과정 수집 해외 과학 기술 정보 연구 개발 결과 보안 등급 등록 연구 시설 장비 현황 연구 개발 과제 수행 따르다 연구실 등 안전 조치 이행 실적 연구 개발 과제 대표 연구실 기타 사항 참고 문헌 부 록 기타 부록 지침서 매뉴얼 안내서 핸드북 등 부록 하절기 폭염 인하다 사망 영향 6대 광역시 부록 하절기 폭염 인하다 상병 영향 6대 광역시 부록 동절기 한파 인하다 사망 영향 6대 광역시 부록 동절기 한파 인하다 상병 영향 6대 광역시 부록 기후 변화 건강 영향 국제 심포 지우다 회의록 부록 기후 변화 건강 영향 정책 지원 시스템 사용자 매뉴얼 	0.999674811666493
9	a9	Post-2020 신기후체계 협상 적응의제 대응방안 연구	3	장 서론 연구 배경 필요 연구 방향 연구 수행 방법 2장 제네바 텍스트 분석 중재 제네바 텍스트 개요 제네바 텍스트 분석 가다 서문 나 적응 장기 글로벌 측면 의무 기여 행동 모니터링 평가 말다 정보 지식 교훈 공유 바 제도 장치 사다 손실 피해 제네바 텍스트 중재 장 공동 의장 제안 문서 분석 중재 공동 의장 1차 제안 문서 공동 의장 1차 제안 문서 분석 합의 문 초안 결정 문 초안 나 1차 제안 문서 대하다 중재 공동 의장 2차 제안 문서 공동 의장 2차 제안 문서 분석 나 공동 의장 2차 제안 문서 대하다 중재 4장 파리 당사국 총회 협상 중재 공동 의장 3차 제안 문서 분석 가다 합의 문 분석 나 결정 문 분석 공동 의장 3차 제안 문서 대하다 중재 장 향후 대응 방향 파리 합의 문 개요 우리 나라 대응 방향 가다 단기 대응 방향 나 장기 대응 방향 향후 과제 장 결론 참고 문헌 축 약어 	0.999049122934581
10	a10	사물인터넷(IoT)을 활용한 스마트 물환경관리 방안 및 정책기반 마련 연구	3	1장 서다 론 연구 배경 필요 가다 사물 인터넷 혁명 핵심 기술 부상 나 물 환경 관리 부문 사물 인터넷 낮다 인식 연구 필요 방향 연구 범위 주요 연구 내용 장 사물 인터넷 개념 기능 물 환경 관리 도입 필요 사물 인터넷 가다 사물 인터넷 정의 발전 나 사물 인터넷 주요 구성 요소 사물 인터넷 유사 개념 사물 인터넷 사용 않다 가다 사물 인터넷 기능 기대 효과 부문 나 물 환경 관리 난제 물 환경 관리 내 사물 인터넷 도입 부문 기대 효과 장 유형 국내외 사물 인터넷 활용 물 환경 관리 사례 행위 추적 사례 향상 상황 인식 사례 최적 원격 운영 관리 사례 최적 자원 관리 사례 복합 자동 시스템 사례 장 사물 인터넷 활용 스마트 물 환경 관리 방안 부족 정보 의하다 제도 성과 부족 경우 스마트 친수 환경 관리 방 나다 스마트 관리 방 스마트 유지관리 방 사물 인터넷 활용 이동 크다 오염원 관리 방안 정보 존재 분석 못하다 제도 성과 부족 경우 실시간 수질 정보 관리 현황 나 문제점 개선 방 장 국내 사물 인터넷 활용 스마트 물 환경 관리 도입 여건 분석 정책 개선 정치 사회 문제점 개선 법 제도 문제점 개선 기술 문제점 개선 장 결론 제언 참고 문헌 	0.837839163071283
