"Topic 1","Topic 2","Topic 3"
"환경","폐기물","기후"
"정책","지역","변화"
"가능","현황","적응"
"지속","활용","영향"
"보건","생태","사업"
"현황","정책","환경"
"가다","방법","관련"
"위하다","사례","개발"
"지역","가다","정책"
"기후","처리","대책"
"관련","생물","현황"
"서비스","국내","대기"
"활용","관련","위하다"
"경제","대하다","결과"
"체계","소음","있다"
"방법","시설","주요"
"목적","제도","계획"
"자연","결과","환경영향평가"
"사례","목적","오염"
"개발","풍력","내용"
"사회","자원","필요"
"지표","체계","사례"
"이용","방안","방향"
"계획","위하다","운영"
"대하다","다양","체계"
"데이터","계획","방법"
"국내","배경","건강"
"발전","부록","수립"
"변화","문헌","검토"
"미래","산업","이행"
"있다","환경","사후"
"에너지","필요","가다"
"문제","참고","방안"
"개념","결론","개선"
"필요","1장","추진"
"문헌","서다","배경"
"부문","검토","부록"
"참고","개발","대하다"
"결론","개선","통하다"
"배경","범위","피해"
"방안","기준","문헌"
"기반","있다","발전"
"회복력","운영","목적"
"도시","제언","자료"
"공간","단계","개요"
"주요","선행","국가"
"분야","내용","제도"
"영향","나노","대응"
"결과","이용","국내"
"내용","물질","취약"
"구성","포럼","따르다"
"수요","공원","참고"
"자료","비용","국제"
"국가","주요","지역"
"적용","순환","부문"
"제언","적용","인하다"
"정보","통하다","사고"
"1장","서비스","리스크"
"서다","유형","시스템"
"대응","배출","가능"
"리스크","자료","시사점"
"검토","대상","시행"
"범위","샛강","홍보"
"재난","영향","말다"
"생태","부문","제안"
"작성","지표","기술"
"재생","시사점","하다"
"토지","가치","화학"
"효과","추정","지원"
"목표","특성","생태"
"기술","항목","결론"
"건강","고려","과제"
"지원","안전","이동"
"성장","분류","사항"
"따르다","정의","지자체"
"말다","변화","향후"
"추진","보호","지표"
"사업","친환경","구성"
"시설","문제점","활용"
"포럼","자연환경","세부"
"통하다","선정","전문가"
"녹색","생활","기본"
"공급","지하수","강화"
"설정","자동차","서다"
"발생","따르다","수행"
"관계","이슈","범위"
"동향","산출","마을"
"프로그램","동향","연계"
"부록","발생","도시"
"시사점","설문","농촌"
"시범","비교","사회"
"선행","정보","분야"
"과제","협력","단체"
"산업","투입","국내외"
"전망","주민","경제"
"지수","발생량","점검"
"시스템","경제","지침"
"제도","분야","부처"
"권역","발전","발생"
"탄회","국제","시범"
"싱크홀","공간","1장"
"의료","개요","종합"
"시나리오","지침","단계"
"모델","대응","보고서"
"자원","추진","효과"
"국외","보전","기반"
"과정","협약","기초"
"방향","과정","기관"
"분류","환경영향평가","시설"
"협력","국가","장기"
"비교","산정","운동"
"요약","측정","성과"
"수급","수요","지방"
"낙동강","행렬","대상"
"특성","수용성","도출"
"도구","일본","감축"
"인과","사회","적용"
"개선","구성","절차"
"인하다","수거","고려"
"수행","지불","물질"
"도출","하천","인식"
"이행","효과","협력"
"선정","결정","환류"
"항목","설치","자치"
"향후","말다","부지"
"자본","구조","기준"
"캄보디아","도입","정보"
"단계","목표","공동"
"정의","사항","배출"
"국민","개념","우리"
"고찰","기술","계층"
"바이오매스","지수","제시"
"북한","오염","과학"
"대안","단위","모니터링"
"수립","흐름","예측"
"서론","국내외","피해액"
"연안","공장","화력"
"한국","요약","나라"
"대상","기법","비점"
"혜택","미국","도로"
"종합","향후","특성"
"재정","하다","토양"
"안전","기존","재질"
"구조","습지","산정"
"인프라","토지","차량"
"보전","가능","중국"
"해외","요인","1차"
"지도","사후","동물"
"나다","행동","도입"
"통합","관심","문제점"
